LotNo=8J208472500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
10,2.4389,2.8988,22.2,1.584,1320.48,993.69,459.21,455.3,18.74,2.8988,993.69,459.21,112,103,1.6125,2.1943,2.4881,1.6111,1.2227,450.94,1.2286,18.54,0.889,0.5976,2.4881,993.69,459.21,455.3,1.391,20.08,2.8988,22.2,22.2,1.584,1.584,75.49,79.03,71.29,43.35,53.96,53.31,51.26,49.35,36.78
11,1.9355,3.4677,45.5,2.1896,868.31,1489.29,449.88,450.54,21.26,3.4677,1489.29,449.88,113,103,1.933,1.8244,1.6485,1.5473,2.0754,447.25,0.3705,21.03,1.9137,2.7438,1.6485,1489.29,449.88,450.54,1.0175,21.55,3.4677,45.5,45.5,2.1896,2.1896,36.97,67.64,71.21,73.71,42.98,37.24,58.75,42.63,39.42
12,1.7085,3.3412,21.5,0.6891,1297.94,805.77,457.88,445.36,19.83,3.3412,805.77,457.88,114,103,1.7513,1.7815,1.9971,1.8354,1.2355,450.05,0.5119,18.83,0.716,2.6601,1.9971,805.77,457.88,445.36,2.1805,18.57,3.3412,21.5,21.5,0.6891,0.6891,76.59,42.82,72.04,62.96,79.63,48.13,43.27,74.69,48.79
13,1.7117,3.1814,30.1,0.8579,1333.2,1411.81,455.03,449.3,18.19,3.1814,1411.81,455.03,115,103,2.4209,2.0236,2.2296,1.8304,1.081,445.26,0.5377,21.09,1.9551,1.2225,2.2296,1411.81,455.03,449.3,2.3399,21.84,3.1814,30.1,30.1,0.8579,0.8579,34.96,41.28,79.14,71.3,72.6,79.03,76.32,77.26,54.51
14,1.6628,3.0802,29.8,0.1765,1155.32,842.92,449.29,455.16,19.23,3.0802,842.92,449.29,116,103,2.0054,1.8733,2.3669,1.8734,0.4462,443.78,1.7478,18.34,0.9657,2.0212,2.3669,842.92,449.29,455.16,0.3063,18.64,3.0802,29.8,29.8,0.1765,0.1765,69.53,64.13,31.29,37.37,52.35,39.31,57.01,72.74,34.3
15,2.4924,2.8957,36.3,1.9369,1386.57,908.91,449.33,455.77,20.34,2.8957,908.91,449.33,117,103,1.568,2.2902,1.996,2.1767,1.1403,441.33,2.3709,21.26,0.1011,0.4246,1.996,908.91,449.33,455.77,0.7628,20.3,2.8957,36.3,36.3,1.9369,1.9369,71.54,32.72,76.21,33.02,49.86,42.4,39.47,47.59,41.5
16,1.6795,2.8424,40.1,1.713,1263.75,1116.45,440.7,446.9,18.06,2.8424,1116.45,440.7,118,103,1.8696,1.5783,1.8425,1.715,1.4239,446.26,0.8293,18.62,0.6342,2.6274,1.8425,1116.45,440.7,446.9,1.3128,21.03,2.8424,40.1,40.1,1.713,1.713,51.92,74.99,35.4,39.96,76.02,68.67,52.36,56.43,76.57
17,1.8225,2.9076,37.3,2.2177,1495.14,1299.77,458.89,455.21,18.37,2.9076,1299.77,458.89,119,103,2.1871,2.2635,1.9073,2.0913,0.7054,452.46,1.4391,18.14,0.7572,0.5513,1.9073,1299.77,458.89,455.21,1.3758,21.31,2.9076,37.3,37.3,2.2177,2.2177,66.57,72.45,77.95,66.62,67.96,49.83,76.01,60.3,52.5
18,1.9076,3.0423,31.5,0.8888,1189.52,907.58,450.63,444.52,19.47,3.0423,907.58,450.63,120,103,1.7592,2.4844,1.8855,1.962,2.364,443.67,1.8141,20.31,0.703,0.061,1.8855,907.58,450.63,444.52,0.4329,18.49,3.0423,31.5,31.5,0.8888,0.8888,31.13,78.69,55.06,45.59,48.76,40.95,38.93,45.5,65.46
19,1.8378,3.0181,38.9,1.0606,1398.84,1132.6,443.66,440.46,19.6,3.0181,1132.6,443.66,121,103,1.9118,1.717,2.0502,1.5011,0.3031,453.15,2.9151,20.45,2.8971,0.2254,2.0502,1132.6,443.66,440.46,1.9381,18.81,3.0181,38.9,38.9,1.0606,1.0606,51.91,36.45,54.7,74.83,62.22,33.98,50.01,58.07,76.82
20,1.6586,2.8916,25.7,1.9961,1211.14,1228.67,446.9,451.9,21.91,2.8916,1228.67,446.9,122,103,1.6828,2.3708,2.2673,2.4841,2.8317,447.25,1.6671,20.37,2.6914,0.4814,2.2673,1228.67,446.9,451.9,0.6662,19.05,2.8916,25.7,25.7,1.9961,1.9961,79.44,56.43,45.29,55.77,32.54,61.17,37.19,60.85,60.12
21,1.624,3.0148,37.1,1.3591,1313.46,1238.31,445.4,454.34,18.67,3.0148,1238.31,445.4,123,103,2.1275,1.7388,1.8181,2.4686,0.4895,459.04,2.4653,19.45,2.2787,1.0901,1.8181,1238.31,445.4,454.34,1.2951,18.71,3.0148,37.1,37.1,1.3591,1.3591,77.21,32.83,61.06,42.83,31.86,42,79.84,53.91,72.42
22,2.2867,3.0372,13.3,2.2712,1082.27,1158.6,442.31,451.79,20.58,3.0372,1158.6,442.31,124,103,1.9154,1.8982,1.9924,2.1236,1.8572,459.83,2.1494,19.35,0.8327,0.7968,1.9924,1158.6,442.31,451.79,0.7143,18.73,3.0372,13.3,13.3,2.2712,2.2712,35.82,44.41,46.87,55.88,44.99,77.73,54.92,38.51,50.96
23,1.9718,2.8927,39.9,0.2357,1093.47,906.47,454.03,451.92,20.48,2.8927,906.47,454.03,125,103,2.319,2.0359,1.5646,2.1151,2.5604,459.6,1.454,22,0.8827,1.8034,1.5646,906.47,454.03,451.92,0.2676,21.64,2.8927,39.9,39.9,0.2357,0.2357,40.22,32.39,37.53,46.18,44.21,53.34,36.58,77.87,58.08
24,1.661,3.0927,30.5,0.8623,1379.06,1222.61,446.04,447.11,19.08,3.0927,1222.61,446.04,126,103,1.5268,1.7559,2.2913,1.9959,0.0618,445.97,0.3976,20.57,2.1202,0.3328,2.2913,1222.61,446.04,447.11,1.5714,18.88,3.0927,30.5,30.5,0.8623,0.8623,50.88,70.29,58.42,31.43,60.89,55.6,57.44,41.12,40.7
25,1.5011,3.2895,43.5,0.2243,1284.47,1111.97,443.38,441.75,19.91,3.2895,1111.97,443.38,127,103,2.1946,2.1512,1.5794,2.0276,0.4674,447.47,1.4504,19.09,0.8178,1.7098,1.5794,1111.97,443.38,441.75,2.6414,20.66,3.2895,43.5,43.5,0.2243,0.2243,49.14,48.52,69.99,56.72,69.47,41.84,58.65,47.61,56.19
26,2.304,2.9986,31.3,0.2883,1190.99,1451.78,459.74,456.68,21.85,2.9986,1451.78,459.74,128,103,2.4707,2.4388,1.6986,2.4383,0.1166,451.3,0.4183,19.35,2.3403,1.333,1.6986,1451.78,459.74,456.68,1.9288,18.47,2.9986,31.3,31.3,0.2883,0.2883,54.58,78.18,43.71,61.57,49.58,62.54,56.67,60.22,59.27
27,2.4395,3.3456,22.6,2.2376,1466.26,898.61,441.15,449.57,18.46,3.3456,898.61,441.15,129,103,2.2136,1.9752,1.5342,1.5815,1.105,446.91,2.8158,19.48,1.844,2.2849,1.5342,898.61,441.15,449.57,0.7543,20.21,3.3456,22.6,22.6,2.2376,2.2376,61.23,38.29,76.17,75.78,47.58,78.92,36.15,66.99,46.46
28,1.8513,3.3713,43,1.1798,1256.68,931.63,458.89,458.73,20.21,3.3713,931.63,458.89,130,103,1.7114,2.4232,2.0259,2.1391,1.1186,441.38,1.6826,21.13,0.1797,0.1036,2.0259,931.63,458.89,458.73,0.7786,18.54,3.3713,43,43,1.1798,1.1798,63.75,47.87,42.63,67.42,39.76,35.35,42.1,44.52,56.62
29,1.9042,3.1007,37.4,2.511,965.95,926.08,442.91,450,21.82,3.1007,926.08,442.91,131,103,2.2618,1.5981,2.093,1.8115,1.3104,445.96,1.3399,20.95,2.504,1.4217,2.093,926.08,442.91,450,2.2005,19.91,3.1007,37.4,37.4,2.511,2.511,31.49,38.06,77.06,37.93,76.78,54.09,30.96,36.04,76.4
30,2.4672,2.9218,43.4,0.8995,1011.81,1165.94,443.98,455.12,21.66,2.9218,1165.94,443.98,132,103,1.5887,1.709,1.7941,1.8512,1.1315,440.12,1.7373,18.45,0.2343,2.1333,1.7941,1165.94,443.98,455.12,0.7596,21.24,2.9218,43.4,43.4,0.8995,0.8995,69.74,73.39,60.32,64.12,77.66,53.03,64.31,55.54,34.38
31,1.6407,3.1567,45.7,0.4887,1342.43,1077.74,445.28,445.83,19.64,3.1567,1077.74,445.28,133,103,2.104,1.5753,2.1866,1.9625,0.075,455.98,2.7227,18.09,1.4558,2.8006,2.1866,1077.74,445.28,445.83,2.5386,18.42,3.1567,45.7,45.7,0.4887,0.4887,49.08,36.77,60.64,46.68,65.28,72.25,56.57,64.66,39.04
32,1.5732,2.9172,38,1.6607,1119.64,1096.03,455.21,449.62,19.32,2.9172,1096.03,455.21,134,103,2.083,1.647,2.2445,1.6672,2.6299,442.04,2.4548,19.19,0.6839,2.2137,2.2445,1096.03,455.21,449.62,1.7198,19.82,2.9172,38,38,1.6607,1.6607,60.62,56.63,68.44,42.76,75.22,46.28,65.57,51.12,51.72
33,1.7798,3.2761,13.7,0.6935,920.71,1218.09,452.96,441.32,21.55,3.2761,1218.09,452.96,135,103,2.0055,1.7664,1.9612,2.1694,1.3141,450.05,0.8882,20.21,2.2247,1.3271,1.9612,1218.09,452.96,441.32,1.7181,19.38,3.2761,13.7,13.7,0.6935,0.6935,43.87,67.28,67.2,49.97,44.92,74.84,77.52,52.06,31.18
34,1.8724,2.9899,44.2,1.2463,948.64,845.02,446.08,452.53,18.12,2.9899,845.02,446.08,136,103,2.2498,1.7713,1.6331,2.1301,1.0228,447.66,1.0548,18.59,1.6069,0.4242,1.6331,845.02,446.08,452.53,1.8018,21.52,2.9899,44.2,44.2,1.2463,1.2463,58.99,58.42,72.58,71.06,71.59,68.55,65.65,37.01,50.65
35,2.0115,3.3687,17.5,2.6468,1091.08,1194.88,444.61,443.38,19.08,3.3687,1194.88,444.61,137,103,2.2929,1.8704,2.4561,1.864,1.8524,454.47,2.3557,21.59,0.4011,2.086,2.4561,1194.88,444.61,443.38,1.2404,18.45,3.3687,17.5,17.5,2.6468,2.6468,55.95,39.76,44.39,57.05,51.62,51.72,45.06,65.19,42.45
36,2.001,2.8381,49,1.9729,1206.18,1495.77,457.45,458.44,18.73,2.8381,1495.77,457.45,138,103,1.8781,1.9562,1.8916,1.836,1.1724,454.24,2.6451,21.3,0.4496,1.0753,1.8916,1495.77,457.45,458.44,2.4164,18.76,2.8381,49,49,1.9729,1.9729,59.37,38.7,61.38,36.31,68.49,36.88,40.27,42.78,76.28
37,2.3577,3.263,26,0.8522,1153.98,876.93,455.89,445.45,20.04,3.263,876.93,455.89,139,103,2.2555,2.333,2.2912,2.4685,2.4384,450.17,1.1916,18.04,0.7621,2.2338,2.2912,876.93,455.89,445.45,2.7668,20.06,3.263,26,26,0.8522,0.8522,51.71,77.28,35.77,68.91,56.92,56.85,45.67,65.96,79.58
38,2.1095,3.0374,20.7,1.9753,1206.37,1036.59,446.09,445.28,21.34,3.0374,1036.59,446.09,140,103,1.5222,2.0585,2.4626,1.7947,0.5475,442.63,0.8794,19.09,0.9929,1.0448,2.4626,1036.59,446.09,445.28,2.7889,20.34,3.0374,20.7,20.7,1.9753,1.9753,36.63,52.6,50.82,38.75,40.85,34.91,32.27,49.75,33.72
39,2.3771,3.0776,37.2,1.9291,903.38,1330.82,444.92,448.23,19.32,3.0776,1330.82,444.92,141,103,1.8051,1.512,2.263,2.3207,2.6289,441.66,0.9422,18.25,2.9071,0.2808,2.263,1330.82,444.92,448.23,1.551,18.38,3.0776,37.2,37.2,1.9291,1.9291,51.55,76.32,57.9,67.18,34.91,55.92,76.06,51.8,33.56
40,2.1066,3.0487,47,2.6403,1069.69,1361.84,457.64,451.93,18.38,3.0487,1361.84,457.64,142,103,1.6477,2.263,1.8992,2.0927,2.0037,444.09,1.2797,18.75,2.3656,2.9141,1.8992,1361.84,457.64,451.93,0.4385,21.5,3.0487,47,47,2.6403,2.6403,57.57,44.83,44.23,36.88,40.17,74.01,76.98,76.92,53.81
41,2.3535,3.4738,21.3,0.9241,876.61,928.3,441.94,456.68,21.88,3.4738,928.3,441.94,143,103,1.6403,2.3278,1.625,2.3357,1.102,453.23,1.5405,20.7,1.1293,2.006,1.625,928.3,441.94,456.68,0.4278,19.18,3.4738,21.3,21.3,0.9241,0.9241,36.85,34.28,31.77,31.98,69.63,53.19,70.96,36.52,66.32
42,2.2186,3.0547,19.8,0.7458,1151.43,1375.54,455.3,458.07,18.12,3.0547,1375.54,455.3,144,103,1.6455,2.4786,1.9031,1.6445,2.4516,441.49,1.1234,20.3,2.8798,1.0743,1.9031,1375.54,455.3,458.07,2.8309,20.77,3.0547,19.8,19.8,0.7458,0.7458,42.24,77.88,30.86,32.27,56.2,73.6,62.68,41.2,35.42
43,2.3507,3.1983,21.3,0.6981,1299.83,1432.55,440.67,456.81,18.17,3.1983,1432.55,440.67,145,103,2.1929,2.0048,2.0095,2.4025,1.233,441.1,1.8244,21.25,0.6376,1.2886,2.0095,1432.55,440.67,456.81,2.3191,19.36,3.1983,21.3,21.3,0.6981,0.6981,33.32,41.3,78.95,75.88,53.31,31.44,35.04,40.55,58.91
44,2.1015,3.4899,10.5,0.2636,823.33,1103.03,447.65,440.82,19.27,3.4899,1103.03,447.65,146,103,2.34,2.329,1.8713,1.7433,0.8121,455.98,2.2831,19.79,1.9846,1.8885,1.8713,1103.03,447.65,440.82,1.2685,18.29,3.4899,10.5,10.5,0.2636,0.2636,60.93,34.2,30.55,69.15,56.57,34.94,48.22,79.44,67.62
45,2.4392,2.8008,43.5,0.0554,1167.92,1331.2,446.07,447.44,18.41,2.8008,1331.2,446.07,147,103,1.7726,2.4988,2.4627,2.0714,0.4334,454.14,1.2592,21.7,0.347,1.6629,2.4627,1331.2,446.07,447.44,0.6395,20.65,2.8008,43.5,43.5,0.0554,0.0554,44.22,50.98,41.38,37.17,63.08,77.56,35.31,40.96,64.53
46,1.6797,3.2226,47,1.5333,1355.47,1019.8,444.13,446.46,18.43,3.2226,1019.8,444.13,148,103,2.401,1.8316,2.1666,1.6593,2.6928,442.85,0.6405,18.18,2.4749,2.5156,2.1666,1019.8,444.13,446.46,0.5388,20.94,3.2226,47,47,1.5333,1.5333,42.77,44.89,40.68,72.58,78.09,69.12,61.01,65.05,77.34
47,2.1038,3.2622,44.6,1.5527,1319.97,822.59,443.94,440.41,20.28,3.2622,822.59,443.94,149,103,1.7769,2.4526,2.0439,2.1527,0.8352,451.8,1.3063,18.36,0.6307,0.2792,2.0439,822.59,443.94,440.41,1.3812,21.97,3.2622,44.6,44.6,1.5527,1.5527,40.95,61.85,35.42,76.82,69.59,51.62,37.31,78.51,42.01
48,1.8952,2.9611,12.1,0.8807,1049.03,967.37,453.55,449.3,19.63,2.9611,967.37,453.55,150,103,1.523,2.1704,1.7835,1.7866,1.7526,448.4,0.9454,20.09,0.3516,2.1793,1.7835,967.37,453.55,449.3,1.5798,21.33,2.9611,12.1,12.1,0.8807,0.8807,33.05,37.04,44.64,73.87,66.98,48.17,68.9,66.94,74.58
49,1.528,3.2738,48.3,0.4266,824.84,1475.28,454.31,452.9,20.96,3.2738,1475.28,454.31,151,103,2.0426,2.2105,2.1454,1.7059,1.3522,455.59,0.5021,19.36,0.4641,1.5061,2.1454,1475.28,454.31,452.9,0.031,18.27,3.2738,48.3,48.3,0.4266,0.4266,62.01,56.38,61.65,42.42,64.97,68.46,56.91,52.27,58.84
50,1.6339,3.2848,13.3,0.3977,1249.95,1105.5,443.05,446.54,21.77,3.2848,1105.5,443.05,152,103,1.8528,2.4751,2.0705,2.265,2.9207,457.93,1.8636,21.97,0.4632,2.5891,2.0705,1105.5,443.05,446.54,2.8683,19.61,3.2848,13.3,13.3,0.3977,0.3977,52.53,66.05,63.71,76.47,38.3,79.35,38.15,55.03,74.74
51,1.5457,3.1704,30,2.5544,1021.29,1353.78,450.87,454.44,21.03,3.1704,1353.78,450.87,153,103,1.6296,2.2086,2.4109,2.3426,2.9819,451.69,0.7275,21.49,2.4182,0.6964,2.4109,1353.78,450.87,454.44,1.0971,19,3.1704,30,30,2.5544,2.5544,57.98,38.67,71.97,69.53,43.1,61.6,62.36,40.86,59.73
52,2.358,2.9844,39.8,2.3116,1218.37,813.48,453.65,447.13,21.6,2.9844,813.48,453.65,103,104,2.4411,1.5722,1.5419,2.2603,2.0524,454.91,1.2612,18.01,1.9181,0.3015,1.5419,813.48,453.65,447.13,1.8485,19.48,2.9844,39.8,39.8,2.3116,2.3116,45.18,72.95,53.51,35.76,53.81,53.08,52.4,33.11,77.15
53,2.0441,2.8968,41.7,1.6427,1333.8,1452.27,457.89,450.52,19.21,2.8968,1452.27,457.89,104,104,1.6533,1.7814,1.8372,1.7797,2.5545,443.83,1.8052,21,0.4712,1.0494,1.8372,1452.27,457.89,450.52,2.8335,21.44,2.8968,41.7,41.7,1.6427,1.6427,64.58,32.16,56.5,30.59,34.4,37.79,78.68,58.75,40.15
54,1.6129,2.9594,39.9,1.8859,1431.82,1307.5,455.3,452.58,20.34,2.9594,1307.5,455.3,105,104,1.7933,2.3581,2.1504,1.6936,2.2876,445.26,0.0637,21.17,1.6803,2.0778,2.1504,1307.5,455.3,452.58,2.7067,21.65,2.9594,39.9,39.9,1.8859,1.8859,59,73.38,78.1,54.31,74.99,41.05,77.2,47.54,62.42
55,2.2746,3.1717,43.7,1.0983,1456.54,1244.95,446.24,447.17,19.61,3.1717,1244.95,446.24,106,104,2.2751,1.8995,1.6211,1.6472,1.969,458.39,0.0838,21.12,0.7339,1.1355,1.6211,1244.95,446.24,447.17,0.0157,18.41,3.1717,43.7,43.7,1.0983,1.0983,53.15,49.77,40.42,54.9,70.78,71.78,39.58,63.69,74.84
56,1.6308,3.203,21.9,2.4776,1433.08,1093.24,456.57,445.63,19.06,3.203,1093.24,456.57,107,104,2.346,2.3234,2.4671,2.1835,0.3656,443.29,2.4699,18.11,0.0112,0.3919,2.4671,1093.24,456.57,445.63,2.2444,19.29,3.203,21.9,21.9,2.4776,2.4776,72.34,67.13,30.14,34.3,54.08,38.56,63.55,56.51,60
57,1.6777,3.2738,34,1.2818,1286.92,848.23,448.45,455.42,18.87,3.2738,848.23,448.45,108,104,1.6737,1.922,2.414,2.3786,2.0004,455.08,0.8342,21.38,2.7388,0.9851,2.414,848.23,448.45,455.42,0.7544,20.85,3.2738,34,34,1.2818,1.2818,30.84,43.85,59.92,38,60.61,53.1,31.97,59.28,67.26
58,1.7144,3.1493,28,2.4106,1342.23,1434.75,442.88,456.45,21.46,3.1493,1434.75,442.88,109,104,1.6544,1.8562,2.1996,2.1563,1.1974,450.62,2.9049,20.35,1.1547,0.0338,2.1996,1434.75,442.88,456.45,2.0344,21.17,3.1493,28,28,2.4106,2.4106,55.38,64.3,36.41,72.88,59.27,53.77,51.24,42.51,42.62
59,1.5362,2.9633,29.7,0.7963,827.53,856.65,456.12,447.35,18.03,2.9633,856.65,456.12,110,104,1.907,2.2936,1.5038,1.5857,2.0803,456.05,0.5614,20.6,0.8276,1.2746,1.5038,856.65,456.12,447.35,1.1537,18.98,2.9633,29.7,29.7,0.7963,0.7963,33.46,36.53,70.1,53.42,60.87,78.54,47.73,35.62,74.61
60,2.3088,3.115,49.8,1.7216,1331.8,1478.21,446.07,445.96,18.72,3.115,1478.21,446.07,111,104,1.6309,2.3296,1.926,1.5214,0.7046,446.08,1.9115,18.03,2.2309,1.1048,1.926,1478.21,446.07,445.96,1.9998,18.84,3.115,49.8,49.8,1.7216,1.7216,44.31,63.84,55.02,77.45,45,47.66,53.67,51.24,33.77
61,2.3012,3.2353,17.1,2.0813,1496.1,956.01,448,453.85,21.45,3.2353,956.01,448,112,104,1.5397,2.4353,2.4075,1.8947,2.076,457.64,1.2547,18.97,2.0438,2.5647,2.4075,956.01,448,453.85,2.5695,18.99,3.2353,17.1,17.1,2.0813,2.0813,49.47,57.77,31.11,78.8,46.03,32.47,35,78.3,56.57
62,1.5866,2.9289,32,0.3155,1121.79,1092.35,457.85,459.6,20.55,2.9289,1092.35,457.85,113,104,1.6132,1.8741,1.5781,1.9348,1.123,446.85,2.6677,19.68,1.0618,0.5166,1.5781,1092.35,457.85,459.6,1.3438,19.59,2.9289,32,32,0.3155,0.3155,58.31,57.97,70,34.89,62.14,72.84,69.12,54.93,49.93
63,1.716,2.9883,42.3,0.0642,998.85,966.87,445.28,459.02,21.57,2.9883,966.87,445.28,114,104,2.0815,2.1361,1.5528,1.7318,1.0588,455.82,2.1699,19.18,2.0746,1.8396,1.5528,966.87,445.28,459.02,0.0195,21.36,2.9883,42.3,42.3,0.0642,0.0642,79.33,70.36,59.23,32.26,67.79,35.06,77.16,55.49,78.39
64,2.0098,3.4876,37.2,0.365,1158.72,1492.3,451.83,440.53,18.65,3.4876,1492.3,451.83,115,104,2.242,1.6634,2.1079,1.8912,0.1398,441.5,0.7162,21.9,0.3009,0.9494,2.1079,1492.3,451.83,440.53,2.8148,20.6,3.4876,37.2,37.2,0.365,0.365,77.14,63.77,65.72,32.83,74.1,44.59,37.62,73.71,57.55
65,1.6676,2.992,37,1.3284,1300.39,1058.71,459.32,455.32,18.02,2.992,1058.71,459.32,116,104,2.4544,1.7132,2.0909,2.2459,0.0794,445.59,1.8168,20.16,0.4435,1.1043,2.0909,1058.71,459.32,455.32,1.0008,18.31,2.992,37,37,1.3284,1.3284,73.43,63.92,42.47,48.82,50.55,30.07,47.24,35.06,72.76
66,1.7175,2.9368,24.8,0.1504,830.32,1231.55,456.24,454.64,21.21,2.9368,1231.55,456.24,117,104,2.1094,2.1878,1.9654,1.7163,1.3016,445.84,1.7285,19.61,1.8813,1.9669,1.9654,1231.55,456.24,454.64,1.0994,20.14,2.9368,24.8,24.8,0.1504,0.1504,76.77,39.15,67.11,66.26,34.51,77.15,69.06,55.99,39.79
