LotNo=8J208472700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
14,2.1107,3.4511,46,0.5697,1258.63,1051.24,440.93,441,19.35,3.4511,1051.24,440.93,116,103,1.7332,2.0797,2.4833,1.6913,1.9263,456.52,2.1214,18.51,1.4886,0.3397,2.4833,1051.24,440.93,441,2.2866,18.36,3.4511,46,46,0.5697,0.5697,64.19,76.02,39.03,33.68,65.77,59.31,68.1,69.67,58.3
15,1.9761,3.324,46.1,0.999,1440.43,1066.36,455.11,447.13,19.18,3.324,1066.36,455.11,117,103,1.9855,1.9784,1.5351,2.3585,0.2774,444.77,1.9784,19.26,2.0576,1.1541,1.5351,1066.36,455.11,447.13,0.9371,19.83,3.324,46.1,46.1,0.999,0.999,47.73,57.5,75.51,78.61,59.59,39.35,60.12,76.63,34.92
16,2.1693,2.968,15.9,0.1426,967.32,845.1,447.52,441.28,18.21,2.968,845.1,447.52,118,103,1.8857,1.8923,2.2153,1.7453,0.5677,445.45,0.9448,21.02,0.8418,0.8704,2.2153,845.1,447.52,441.28,2.6116,20.79,2.968,15.9,15.9,0.1426,0.1426,32.06,38.62,68.61,40.64,46.39,62.85,63.59,53.01,30.54
17,1.5086,3.0458,22.1,2.4346,890.95,1213.62,452.37,450.3,20.73,3.0458,1213.62,452.37,119,103,2.4144,2.1361,2.0317,1.9112,1.9702,454.46,2.9757,20.69,1.1822,2.4456,2.0317,1213.62,452.37,450.3,1.7245,18.56,3.0458,22.1,22.1,2.4346,2.4346,47.24,70.35,34.44,53.02,31.89,30.23,64.16,41.97,45.74
18,1.6371,3.3846,31.4,2.0511,927.74,841.05,440.85,443.96,20.52,3.3846,841.05,440.85,120,103,1.9394,1.6416,1.9434,1.563,2.1392,455.61,2.7054,18.57,1.9132,0.2385,1.9434,841.05,440.85,443.96,2.4316,20.23,3.3846,31.4,31.4,2.0511,2.0511,75.93,78.38,62.19,34.52,78.61,73.85,75.45,69.71,39.35
19,2.4071,3.3785,27.8,1.4774,1125.37,1451.21,445.98,454.84,19.46,3.3785,1451.21,445.98,121,103,1.9084,1.8761,2.0071,1.6397,1.7753,457.85,2.4129,19.62,0.8609,0.4516,2.0071,1451.21,445.98,454.84,0.8151,18.87,3.3785,27.8,27.8,1.4774,1.4774,53.6,56.68,51.38,41.04,31.53,68.88,48.22,69.92,64.1
20,2.0254,3.0779,31.2,0.8792,921.24,1338.95,450.88,441,19.28,3.0779,1338.95,450.88,122,103,2.4651,1.7699,1.5232,2.1142,0.2313,443.13,2.8954,21.82,1.1375,2.7853,1.5232,1338.95,450.88,441,2.6853,21.08,3.0779,31.2,31.2,0.8792,0.8792,37.28,72.04,47.06,51.18,76.47,35.17,56.34,70.91,52.12
21,2.3728,3.3815,20.2,1.9762,1304.38,1196.12,449.89,440.95,19.59,3.3815,1196.12,449.89,123,103,1.7642,2.3155,2.3648,1.5312,0.1532,453.04,1.8833,20.15,2.3298,0.1234,2.3648,1196.12,449.89,440.95,2.0306,21.64,3.3815,20.2,20.2,1.9762,1.9762,33.16,63.15,64.12,37.17,49.69,35.62,49.01,76.16,76.82
22,2.12,3.0352,10.5,1.0918,833.99,1427.98,445.18,454.05,20.03,3.0352,1427.98,445.18,124,103,1.7863,1.5573,2.4373,1.613,1.661,443.77,1.0928,20.43,1.6072,0.1721,2.4373,1427.98,445.18,454.05,1.7202,20.29,3.0352,10.5,10.5,1.0918,1.0918,54.65,77.9,33.69,43.07,66.24,62.29,61.4,75.83,70.74
23,1.6441,3.1639,16.2,0.8738,1227.94,952.56,458.26,449.24,19.51,3.1639,952.56,458.26,125,103,1.5644,2.0073,2.3588,1.9082,0.7255,440.32,0.6545,20.58,1.9869,2.2367,2.3588,952.56,458.26,449.24,1.6151,18.17,3.1639,16.2,16.2,0.8738,0.8738,46.05,75.92,74.38,68.37,61.08,52.71,60.69,77.84,47.31
24,1.5979,2.8838,16.4,2.9122,881.4,1155.42,444.91,446.66,20.22,2.8838,1155.42,444.91,126,103,2.2833,1.9621,2.2839,1.8567,2.0862,447.79,2.2703,21.68,2.0759,0.4569,2.2839,1155.42,444.91,446.66,1.1881,21.43,2.8838,16.4,16.4,2.9122,2.9122,72.76,37.09,76.06,42.05,57.03,44.01,38.74,31.95,30.1
25,2.0411,3.4721,49.2,2.0493,1477.57,949.59,453.41,448.71,18.63,3.4721,949.59,453.41,127,103,2.0864,2.0925,2.0954,1.6273,1.7959,447.56,2.4006,21.21,0.3555,0.9483,2.0954,949.59,453.41,448.71,0.1966,18.29,3.4721,49.2,49.2,2.0493,2.0493,49.37,72.95,48.47,44.34,42.76,61.77,61.82,47.5,68.98
26,1.6784,3.4599,35.9,2.8574,1476.53,1182.98,459.43,458.51,20.95,3.4599,1182.98,459.43,128,103,1.5452,1.7312,1.801,2.2722,1.7698,440.43,1.5035,19,0.0474,2.6891,1.801,1182.98,459.43,458.51,2.2143,18.85,3.4599,35.9,35.9,2.8574,2.8574,57.09,66.26,57.98,38.89,56.53,50.62,34.98,75.88,41.17
27,1.7637,3.0316,43.7,1.5127,1121.13,876.24,440.26,456.31,20.63,3.0316,876.24,440.26,129,103,1.6832,2.2727,2.0384,1.5359,0.8878,458.64,0.125,20.55,0.6346,2.352,2.0384,876.24,440.26,456.31,1.62,18.81,3.0316,43.7,43.7,1.5127,1.5127,72.35,71.43,69.7,68.59,51.36,30.88,59.78,41.95,48.17
28,1.7496,2.9592,41,1.4227,1088.57,992.87,452.41,455.3,19.86,2.9592,992.87,452.41,130,103,1.7543,1.7619,1.9686,1.8337,2.5373,446.76,0.2679,18.29,1.5827,0.539,1.9686,992.87,452.41,455.3,0.8447,19.63,2.9592,41,41,1.4227,1.4227,60.16,34.86,62.61,40.78,44.51,57.53,59.23,44.36,69.59
29,2.0245,2.9898,15,0.2886,1452.71,1486.28,442.38,446.51,19.06,2.9898,1486.28,442.38,131,103,2.0866,2.244,1.7788,1.9442,1.7852,440.28,0.4056,20.21,0.1999,1.7796,1.7788,1486.28,442.38,446.51,2.0251,20.34,2.9898,15,15,0.2886,0.2886,71.91,40.59,41.32,39.32,65.34,62.63,48.06,43.58,76.21
30,2.3867,3.2615,22.2,2.2965,939.68,1162.82,445.05,456.28,19.25,3.2615,1162.82,445.05,132,103,2.0925,1.8404,1.5803,1.6365,1.968,446.1,1.6466,18.42,1.6108,2.585,1.5803,1162.82,445.05,456.28,1.673,18.86,3.2615,22.2,22.2,2.2965,2.2965,52.36,69.39,75.61,75.69,35.89,55.19,65.43,67.19,77.7
31,2.4723,3.4678,20.3,0.0117,1413.33,932.35,453.77,456.57,20.91,3.4678,932.35,453.77,133,103,2.134,2.4142,2.0904,1.9669,2.7078,450.35,1.2579,18.59,0.371,0.0292,2.0904,932.35,453.77,456.57,0.6936,20.32,3.4678,20.3,20.3,0.0117,0.0117,69.26,79.61,65.33,38.04,63.65,52.15,43.59,42.84,69.47
32,2.2746,3.3767,36.1,2.7368,843.16,1053.44,446.34,442.18,19.93,3.3767,1053.44,446.34,134,103,2.4859,1.5359,1.7319,1.5658,2.0438,446.11,1.7924,18.86,0.4926,0.3634,1.7319,1053.44,446.34,442.18,1.4948,21.77,3.3767,36.1,36.1,2.7368,2.7368,70.96,31.43,61.52,48.75,73.28,34.54,42.13,40.6,30.39
33,2.1716,3.0659,27,1.3977,854.25,1314.36,448.37,444.72,18.77,3.0659,1314.36,448.37,135,103,2.4544,2.3801,1.7218,2.496,0.0982,450.71,2.233,19.93,2.346,0.5451,1.7218,1314.36,448.37,444.72,0.8468,21.71,3.0659,27,27,1.3977,1.3977,63.9,71.42,35.8,68.43,68.61,74.24,79.43,68.94,53.17
34,2.0098,3.0664,36,0.4206,959.81,1202.53,456.54,458.23,20.75,3.0664,1202.53,456.54,136,103,2.2309,2.4745,1.7143,2.0768,0.3129,447.9,2.7001,20.37,0.6182,0.7474,1.7143,1202.53,456.54,458.23,1.7877,21.99,3.0664,36,36,0.4206,0.4206,53.17,54.02,69.24,52.42,64.96,47.23,48,32.14,65.65
35,2.0267,2.8644,16.3,2.9692,1416.2,1352.25,441.95,444.27,19.8,2.8644,1352.25,441.95,137,103,2.0384,2.3225,2.0989,2.368,0.5486,452.08,2.9861,18.86,0.2799,1.1441,2.0989,1352.25,441.95,444.27,2.5401,18.26,2.8644,16.3,16.3,2.9692,2.9692,43.86,72.71,76.36,61.38,61.41,56.89,30.61,67.65,79.13
36,2.4157,2.9427,11.1,0.5696,1293.95,1240,443.62,447.92,20.11,2.9427,1240,443.62,138,103,1.9808,1.5542,1.8515,2.4187,2.2908,448.05,2.3192,19.04,2.9073,0.1063,1.8515,1240,443.62,447.92,0.3941,21.46,2.9427,11.1,11.1,0.5696,0.5696,52.4,40.91,34.29,66.12,36.83,38.93,77.89,32.26,41.38
37,2.1345,2.8409,13.3,0.9828,912.46,1382.76,441.43,450.5,20.51,2.8409,1382.76,441.43,139,103,1.9961,2.2552,2.4302,1.9457,2.7389,458.68,0.7605,21.5,1.2679,2.2678,2.4302,1382.76,441.43,450.5,1.4178,19.56,2.8409,13.3,13.3,0.9828,0.9828,64.41,74.16,30.34,38.15,74.45,56.63,42.81,30.98,32.7
38,2.3583,3.2146,41.3,0.8641,819.37,885.69,450.46,456.02,21.73,3.2146,885.69,450.46,140,103,1.688,1.8675,2.0798,1.702,1.9573,442.06,0.8112,20.73,0.6913,0.7636,2.0798,885.69,450.46,456.02,0.4006,20.05,3.2146,41.3,41.3,0.8641,0.8641,62.7,71.04,35.24,74.71,61.33,69.14,40.4,64.56,61.06
39,2.23,3.1583,14.9,0.2395,948.98,1341.41,457.73,441.8,18.71,3.1583,1341.41,457.73,141,103,1.9998,2.4334,2.2004,2.2251,1.3623,454.91,2.9371,21.46,0.3492,1.8501,2.2004,1341.41,457.73,441.8,0.5287,20.64,3.1583,14.9,14.9,0.2395,0.2395,30.05,31.62,79.33,46.72,70.35,73.97,40.21,71.84,50.72
40,1.8103,3.4255,17.3,1.9656,1224.6,1231.65,448.29,450.28,21.04,3.4255,1231.65,448.29,142,103,1.5278,2.3291,2.4823,1.7666,2.7842,450.42,0.9117,18.92,2.9139,0.5743,2.4823,1231.65,448.29,450.28,1.8158,19.06,3.4255,17.3,17.3,1.9656,1.9656,41.61,54.08,50.01,48.57,77.22,41.25,55.48,74.49,42.37
41,2.0853,3.0296,10.6,0.7251,1262.05,1029.21,456.35,444.34,20.19,3.0296,1029.21,456.35,143,103,2.4876,1.7295,2.4766,2.1931,1.0489,457.34,1.0426,21.19,2.0172,0.9543,2.4766,1029.21,456.35,444.34,0.4806,21.3,3.0296,10.6,10.6,0.7251,0.7251,64.42,65.02,47.84,35.46,34.83,59.27,68.36,70.02,61.71
42,2.3913,2.8804,46.9,0.6827,1491.14,1258.34,442.19,453.83,19.37,2.8804,1258.34,442.19,144,103,1.6803,2.4339,2.4681,2.4711,2.4895,450.99,1.9171,20.52,1.9349,2.8662,2.4681,1258.34,442.19,453.83,0.2718,20.43,2.8804,46.9,46.9,0.6827,0.6827,42.61,69.01,54.24,39.14,33.34,37.17,55.65,58.86,61.37
43,1.7365,3.3751,32.9,0.6208,840.25,1167.59,454.96,456.4,21.5,3.3751,1167.59,454.96,145,103,2.3531,2.3064,2.2282,1.5695,1.5575,449.4,2.4116,18.5,2.6595,1.0479,2.2282,1167.59,454.96,456.4,2.4026,21.4,3.3751,32.9,32.9,0.6208,0.6208,53.96,56.68,31.45,59.6,69.35,65.71,62.08,32.99,45.52
44,1.6619,3.1177,24.1,2.5064,1155.12,1276.67,446.73,448.26,18.33,3.1177,1276.67,446.73,146,103,2.4023,1.6584,2.432,1.5012,1.4298,452.05,2.8872,21.41,1.3604,0.0543,2.432,1276.67,446.73,448.26,2.2233,20.92,3.1177,24.1,24.1,2.5064,2.5064,67.74,59.67,38.53,69.7,78.62,69.7,79.16,31.07,45.62
45,1.8725,3.4175,20.2,0.7829,1450.49,891.85,446.58,457.09,19.13,3.4175,891.85,446.58,147,103,2.1349,2.2532,1.958,1.6104,0.6576,455.85,2.8427,21.26,2.3479,0.4173,1.958,891.85,446.58,457.09,2.7075,21.6,3.4175,20.2,20.2,0.7829,0.7829,34.52,43.24,46.24,77.4,73.22,31.6,63.44,31.77,75.29
46,1.857,3.4533,18.4,0.3943,1220.72,851.09,454.44,455.7,18.32,3.4533,851.09,454.44,148,103,2.3481,1.7059,1.6035,2.0707,2.9529,454.9,1.2987,18.14,1.4226,1.5977,1.6035,851.09,454.44,455.7,1.9663,18.19,3.4533,18.4,18.4,0.3943,0.3943,39.87,72.76,70.76,66.28,30.77,55.59,74.8,51.26,62.83
47,1.802,3.4742,27.1,2.5225,1441.36,1192.58,457.61,446.03,19.08,3.4742,1192.58,457.61,149,103,1.6128,1.5313,1.5818,1.5962,0.1613,444.92,1.2014,18.77,2.4578,2.6088,1.5818,1192.58,457.61,446.03,1.5187,20.03,3.4742,27.1,27.1,2.5225,2.5225,57.12,43.56,41.12,42.42,40.7,60.53,78.9,50.12,69.77
48,1.7676,3.0785,30.8,2.8352,1066.86,1037.8,448.52,456.02,19.96,3.0785,1037.8,448.52,150,103,2.2388,1.6913,2.0852,1.5493,2.248,447.85,0.4036,20.48,2.575,2.2463,2.0852,1037.8,448.52,456.02,0.84,20.02,3.0785,30.8,30.8,2.8352,2.8352,64.46,60.41,56.49,65.24,38.85,70.72,66.21,37.78,78.54
49,1.5685,2.8925,37.8,1.925,1244.04,1129.69,459.96,453.05,20.32,2.8925,1129.69,459.96,151,103,1.6003,2.0585,2.2033,1.9217,1.3767,447.89,2.7168,21.85,0.4489,0.5193,2.2033,1129.69,459.96,453.05,0.9409,19.92,2.8925,37.8,37.8,1.925,1.925,73.86,33.36,33.44,59.29,55.55,62.11,38.24,38.96,38.35
50,1.6092,2.9718,14.9,1.6678,1377.65,863.63,447.7,457.65,21.74,2.9718,863.63,447.7,152,103,1.8723,1.9345,1.8366,1.755,0.5939,449.34,0.5439,21.14,0.147,0.3404,1.8366,863.63,447.7,457.65,0.0344,21.81,2.9718,14.9,14.9,1.6678,1.6678,47.09,77.35,39.69,34.39,61.73,61.08,53.87,69.59,55.78
51,2.2234,2.8467,11.9,0.0436,976.42,1299.28,443.54,452.05,18.27,2.8467,1299.28,443.54,153,103,1.764,2.3423,2.3397,2.0414,1.1738,452.74,1.6345,18.53,0.9726,1.2356,2.3397,1299.28,443.54,452.05,0.5693,19.29,2.8467,11.9,11.9,0.0436,0.0436,52.4,63.22,50.15,47.75,79.51,33.43,72.42,59.93,37.01
52,2.451,3.2784,28.8,0.9129,983.95,1057.79,452.55,446.11,19.79,3.2784,1057.79,452.55,103,104,2.2904,2.0462,2.3108,2.2427,2.8438,455.22,0.6444,21.31,1.6467,2.8172,2.3108,1057.79,452.55,446.11,2.7569,18.07,3.2784,28.8,28.8,0.9129,0.9129,35.68,61.12,51.21,58.92,34.09,74.44,35.02,66.19,40.32
53,1.6567,2.8401,25.3,1.3938,1298.74,1062.04,441.8,455.62,19.33,2.8401,1062.04,441.8,104,104,1.7066,1.6713,1.9267,1.5041,0.3195,456.21,2.0759,18.62,2.9852,1.0392,1.9267,1062.04,441.8,455.62,1.6169,18.93,2.8401,25.3,25.3,1.3938,1.3938,44.72,50.08,46.29,37.85,67.68,34.3,72.15,36.87,45.58
54,2.4602,3.17,34.9,1.7124,1383.51,964.63,446.29,450.81,18.9,3.17,964.63,446.29,105,104,1.8943,2.3902,1.9597,2.4248,0.6175,450.45,2.1849,19.18,0.6881,2.9112,1.9597,964.63,446.29,450.81,2.7734,20.87,3.17,34.9,34.9,1.7124,1.7124,62.92,71.59,78.19,55.61,62.14,30.41,65.71,75.12,47.3
55,2.383,3.1749,18.8,0.8468,942.18,958.55,444.05,455.71,18.59,3.1749,958.55,444.05,106,104,1.6028,2.4873,1.712,1.7507,2.167,447.1,0.0225,20.7,1.5355,1.8643,1.712,958.55,444.05,455.71,0.0177,20.5,3.1749,18.8,18.8,0.8468,0.8468,74.97,50.14,53.96,33.94,58.9,53.71,35.71,61.26,37.33
56,1.8254,2.883,30.5,2.9363,891.44,1158.7,452.3,457.65,21.19,2.883,1158.7,452.3,107,104,2.2386,2.4042,1.5254,1.7608,1.3456,454.45,2.9961,21.13,1.7764,2.8819,1.5254,1158.7,452.3,457.65,0.1657,18.2,2.883,30.5,30.5,2.9363,2.9363,60.26,74.1,44.42,31.35,37.74,33.33,42.22,67.47,50.49
57,2.2739,3.094,36.8,1.5092,1317.29,1428.41,440.8,450.89,19.08,3.094,1428.41,440.8,108,104,1.657,1.6116,2.0741,2.0405,2.4733,441.64,2.9236,19.75,0.8808,0.46,2.0741,1428.41,440.8,450.89,0.8539,20.89,3.094,36.8,36.8,1.5092,1.5092,76.42,42.46,64.56,78.66,37.49,37.3,64.93,71.49,40.76
58,2.3325,3.285,18,0.3881,1351.43,891.18,459.35,441.69,21.43,3.285,891.18,459.35,109,104,1.6578,2.4082,2.4936,2.1488,1.6344,450.07,0.5271,20.87,0.5403,2.2689,2.4936,891.18,459.35,441.69,2.1982,21.34,3.285,18,18,0.3881,0.3881,32.04,62.52,73.19,77.06,55.11,50.52,74.23,36.03,66.71
59,2.3529,2.9843,11.9,0.4807,1232.35,1347.75,445.53,459.19,20.01,2.9843,1347.75,445.53,110,104,1.9441,1.7122,1.6002,1.5259,2.6115,445.01,2.2119,20.33,0.8508,1.9161,1.6002,1347.75,445.53,459.19,1.3942,19.45,2.9843,11.9,11.9,0.4807,0.4807,52.7,56.26,31.9,36.53,41.56,55.27,64.42,59.97,30.17
60,2.4142,2.9917,32.7,0.4586,936.9,1088.04,448.07,459.49,19.09,2.9917,1088.04,448.07,111,104,1.7201,1.6128,2.2945,2.162,0.4315,443.99,1.3666,20.93,0.3856,2.8568,2.2945,1088.04,448.07,459.49,0.3958,18.49,2.9917,32.7,32.7,0.4586,0.4586,58.14,40.82,43.67,70.76,37.97,48.15,56.72,59.12,57.94
61,2.4668,3.1261,31.1,1.4095,1085.81,1211.92,440.72,449.48,21.95,3.1261,1211.92,440.72,112,104,2.0156,1.7341,1.6565,2.0207,2.135,440.74,0.0755,19.8,2.2378,2.4678,1.6565,1211.92,440.72,449.48,0.411,18.46,3.1261,31.1,31.1,1.4095,1.4095,79.72,43.82,45.55,62.9,65.44,77.17,74.93,62.04,53.96
62,2.0264,3.2375,33.4,2.5628,1026.74,836.39,446.82,457.7,21.57,3.2375,836.39,446.82,113,104,1.7239,2.0556,1.846,2.4379,1.8593,445.3,0.5127,18.99,0.6609,1.4302,1.846,836.39,446.82,457.7,0.0472,19.79,3.2375,33.4,33.4,2.5628,2.5628,59.82,51.83,57.54,33.59,37.63,57.97,78.86,58.58,75.62
63,2.4244,3.0158,30.4,1.0738,1104.74,910.27,444.58,454.52,18.51,3.0158,910.27,444.58,114,104,1.7824,2.2303,1.9294,2.0795,2.9226,455.34,1.6911,19.52,1.8319,1.4662,1.9294,910.27,444.58,454.52,1.121,19.26,3.0158,30.4,30.4,1.0738,1.0738,65.11,60.21,63.32,76.72,78.11,65.71,39.84,62.28,65.93
64,1.5061,3.0682,38.5,1.6724,909.82,975.12,449.89,450.69,18.49,3.0682,975.12,449.89,115,104,2.1254,1.8131,2.1543,2.3059,1.2788,456.82,1.9788,19.87,2.479,0.9701,2.1543,975.12,449.89,450.69,2.1932,19.23,3.0682,38.5,38.5,1.6724,1.6724,70.89,71.69,55.87,31.92,72.6,41.96,32.29,48.71,68.41
65,1.5367,2.9303,29.8,2.8182,1125.47,1109.67,441.5,446.5,20.56,2.9303,1109.67,441.5,116,104,1.6243,1.9397,2.0716,2.2334,2.5728,445.4,2.0094,19.66,2.6189,1.1735,2.0716,1109.67,441.5,446.5,1.9596,21.86,2.9303,29.8,29.8,2.8182,2.8182,34.24,47.66,63.14,39.89,70.97,66.99,66.78,45.81,74.99
66,2.4647,3.0186,48.1,0.9428,1320.8,1240.55,455.47,451.29,21.13,3.0186,1240.55,455.47,117,104,2.3072,2.1108,2.3135,1.6001,2.7043,445.58,2.9095,19.02,2.3563,1.9075,2.3135,1240.55,455.47,451.29,2.2919,21.94,3.0186,48.1,48.1,0.9428,0.9428,66.44,57.1,58.5,76.78,54.61,53.31,64.61,53.68,36.84
