LotNo=8J208472300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
36,1.5131,3.1079,21.3,2.8287,1158.89,912.3,453.22,446.45,19.85,3.1079,912.3,453.22,138,103,2.3221,1.7878,1.5426,2.2896,0.9657,445.97,2.2361,19.48,2.5468,1.5775,1.5426,912.3,453.22,446.45,0.3603,18.74,3.1079,21.3,21.3,2.8287,2.8287,78.78,38.08,31.97,53.78,66.22,45.42,45.28,30.57,68.22
37,2.2535,2.9445,47.5,1.0939,930.75,1195.94,448.64,440.68,19.58,2.9445,1195.94,448.64,139,103,1.6243,2.2355,2.3095,1.5696,1.6045,448.16,2.0455,19.79,2.2608,1.0935,2.3095,1195.94,448.64,440.68,1.4634,19.6,2.9445,47.5,47.5,1.0939,1.0939,55,68.23,37.52,60.59,62.24,65.55,42.71,78.2,52.58
38,1.9052,2.9851,26.4,1.7135,1470.46,1351.34,445.85,447.52,20.08,2.9851,1351.34,445.85,140,103,1.6148,2.206,2.3345,1.5727,0.5489,453.65,2.0206,21.45,0.9226,2.5039,2.3345,1351.34,445.85,447.52,0.9522,20.37,2.9851,26.4,26.4,1.7135,1.7135,41.45,77.22,39.85,59,46.76,67.75,59.11,75.98,37.3
39,1.606,3.1801,12.1,0.7883,1374.82,1398.81,448.15,458.99,18.79,3.1801,1398.81,448.15,141,103,1.6729,2.4572,2.2381,1.9496,2.7759,454.06,2.1295,20.08,2.0496,0.6922,2.2381,1398.81,448.15,458.99,2.4581,19.74,3.1801,12.1,12.1,0.7883,0.7883,54.77,76.98,78.94,61.2,51.39,79.86,56.96,35.2,50.18
40,2.264,3.0529,30.6,1.4037,1102.96,1310.16,454.63,450.53,18.49,3.0529,1310.16,454.63,142,103,1.8543,1.83,1.7215,2.2681,1.5708,449.26,2.3956,18.01,1.1689,0.6868,1.7215,1310.16,454.63,450.53,2.6757,19.63,3.0529,30.6,30.6,1.4037,1.4037,46.62,50.37,47.38,63.27,42.15,79.18,61.08,55.91,74
41,2.4103,3.3215,47.1,0.636,1478.45,1352.59,455.71,442.89,20.38,3.3215,1352.59,455.71,143,103,1.8164,2.4676,1.6788,1.8108,2.4334,446.32,1.0922,19.2,0.7702,0.0487,1.6788,1352.59,455.71,442.89,2.542,21.06,3.3215,47.1,47.1,0.636,0.636,42.65,57.6,71.35,40.81,37.75,75.68,42.47,50.41,38
42,2.1112,3.3482,32.6,0.0378,853.29,1065.29,442.18,443.06,20.9,3.3482,1065.29,442.18,144,103,2.1596,2.3239,1.5553,2.3922,1.5378,442.34,0.9939,20.35,2.3398,0.4411,1.5553,1065.29,442.18,443.06,0.2975,21.03,3.3482,32.6,32.6,0.0378,0.0378,45.99,35.36,57.15,46.53,66.87,53.97,60.66,30.77,51.6
43,1.7697,3.4999,31.1,0.7972,1370.67,1217.73,456.04,445.03,20.2,3.4999,1217.73,456.04,145,103,1.5185,1.9609,1.8344,2.0274,1.1936,448.59,1.3497,21.54,2.4143,0.2008,1.8344,1217.73,456.04,445.03,0.4344,20.42,3.4999,31.1,31.1,0.7972,0.7972,77.12,61.7,75.7,66.09,42.56,66.36,42.96,35.22,54.29
44,2.3839,3.0395,21.1,0.2492,1057.32,1491.23,457,441.59,20.59,3.0395,1491.23,457,146,103,1.7872,2.2586,2.2048,2.3074,2.1733,458.81,0.3097,21.63,1.3562,0.9708,2.2048,1491.23,457,441.59,2.9619,18.05,3.0395,21.1,21.1,0.2492,0.2492,57.65,30.46,67.42,36.27,46.65,78.03,69.48,36.98,65.04
45,1.5487,3.2359,24.7,2.4081,900.31,880.05,447.43,449.8,18.54,3.2359,880.05,447.43,147,103,2.0632,2.1931,2.4519,2.4227,0.1523,444.53,0.6197,20.57,2.3397,0.3682,2.4519,880.05,447.43,449.8,0.9858,21.31,3.2359,24.7,24.7,2.4081,2.4081,56.29,53.85,47,69.67,59.7,70.19,31.7,48.06,75.07
46,2.2097,3.088,24.6,1.0285,1331.64,920.42,457.56,453.71,18.39,3.088,920.42,457.56,148,103,2.4031,2.0984,1.7111,2.4752,0.4522,443.24,0.4917,19.58,1.4149,1.7958,1.7111,920.42,457.56,453.71,2.2734,19.21,3.088,24.6,24.6,1.0285,1.0285,78.53,44.5,30.35,56.23,68.93,63.12,48.37,44.23,43.83
47,1.5205,2.9607,49.6,0.8349,1033.79,1346.99,454.83,459.21,21.92,2.9607,1346.99,454.83,149,103,1.8661,1.9936,2.1354,2.3955,0.9312,452.25,0.8912,19.39,1.3642,2.4566,2.1354,1346.99,454.83,459.21,2.4744,20.95,2.9607,49.6,49.6,0.8349,0.8349,48.78,73.68,78,76.36,52.39,31.89,55.33,57.04,50.32
48,2.0501,3.0772,40,1.5525,1234.61,1292.37,447.18,444.37,19.79,3.0772,1292.37,447.18,150,103,2.2592,1.6252,1.8078,1.8376,1.9317,446.95,2.8567,18.62,1.3405,2.6225,1.8078,1292.37,447.18,444.37,2.7306,21.98,3.0772,40,40,1.5525,1.5525,79.44,30,46.66,33.74,76.25,48.46,78.91,42.38,33.11
49,2.1194,3.3407,23.6,2.3131,1051.68,883.82,451.15,445.42,18.2,3.3407,883.82,451.15,151,103,2.2878,2.137,1.7348,2.3649,0.5075,456.37,2.5465,18.64,0.5546,2.609,1.7348,883.82,451.15,445.42,2.3403,20.95,3.3407,23.6,23.6,2.3131,2.3131,75.79,54.48,62.56,34.17,44.7,72.73,47.2,48.73,58.67
50,1.7179,3.1202,39.6,0.6174,1276.73,848.58,442.49,452.64,19.94,3.1202,848.58,442.49,152,103,1.6043,2.161,1.8926,1.5611,0.8682,442.41,1.0218,20.55,0.8974,0.9173,1.8926,848.58,442.49,452.64,0.7521,19.63,3.1202,39.6,39.6,0.6174,0.6174,33.35,36.42,74.73,48.27,71.91,51.87,60.37,30.81,44.6
51,1.8226,2.8512,34.5,1.0198,1095.53,1184.48,448.44,450.62,18.88,2.8512,1184.48,448.44,153,103,2.0851,1.986,2.0417,2.3879,1.3719,442.35,1.5241,18.46,2.0816,2.7247,2.0417,1184.48,448.44,450.62,2.5178,18.31,2.8512,34.5,34.5,1.0198,1.0198,75.86,67.67,73.67,32,37.07,78.81,54.9,38.06,67.67
52,2.4773,2.9944,10.4,2.9105,1335.02,810.7,457.23,457.66,21.14,2.9944,810.7,457.23,103,104,2.0612,1.833,2.4169,1.6188,2.3486,441.92,0.3028,21.51,2.7546,0.7531,2.4169,810.7,457.23,457.66,0.7442,18.1,2.9944,10.4,10.4,2.9105,2.9105,34.43,46,41.04,60.17,42.86,66.64,43.91,71.9,38.97
53,2.0901,3.3228,44,1.4064,854.01,954.57,443.33,440.09,21.68,3.3228,954.57,443.33,104,104,2.3951,2.3261,2.0723,1.8834,2.2963,455.56,0.7668,19.06,0.9774,1.5516,2.0723,954.57,443.33,440.09,2.0821,19.57,3.3228,44,44,1.4064,1.4064,77.16,34.07,34.78,72.17,44.14,50.84,54.02,47.43,62.62
54,1.7592,3.0806,36.6,1.9062,1040.66,1424.52,449.14,451.42,19.91,3.0806,1424.52,449.14,105,104,1.9915,1.7928,2.4487,1.644,2.4114,442.3,0.8662,19.4,1.4954,2.2531,2.4487,1424.52,449.14,451.42,2.4093,18.17,3.0806,36.6,36.6,1.9062,1.9062,40.36,52.44,64.58,63.8,51.91,69.27,30.49,31.43,31.52
55,1.6135,3.3088,20.8,0.0659,958.39,1197.71,453.14,441.41,19.85,3.3088,1197.71,453.14,106,104,2.4521,2.0557,2.1816,2.1813,2.9261,444.71,1.5931,19.25,2.5926,2.1611,2.1816,1197.71,453.14,441.41,2.8431,18.59,3.3088,20.8,20.8,0.0659,0.0659,42.63,61.58,71.88,67.24,48.58,42.38,42.39,77.46,41.72
56,2.1738,3.3286,21.4,0.5644,1292.77,1361.21,441.56,456.68,20.04,3.3286,1361.21,441.56,107,104,2.4149,1.9471,1.6596,1.9481,2.5951,450.08,0.7644,20.13,2.079,1.5392,1.6596,1361.21,441.56,456.68,0.6703,21.83,3.3286,21.4,21.4,0.5644,0.5644,78.11,62.71,54.7,34.1,68.93,74.05,77.97,51.9,77.62
57,1.7378,3.3718,46.7,1.3769,1483.7,1221.88,440,458.76,21.73,3.3718,1221.88,440,108,104,2.2451,2.0042,2.0446,2.2166,0.6035,445.66,0.8646,21.46,2.5941,2.6648,2.0446,1221.88,440,458.76,1.5603,19.15,3.3718,46.7,46.7,1.3769,1.3769,75,55.77,44.42,77.69,54.06,60.64,66.04,69.29,40.92
58,2.1653,2.8478,35.8,1.8132,840.73,1304.01,456.24,459.33,18.88,2.8478,1304.01,456.24,109,104,2.0099,1.7136,2.1928,2.1114,2.2218,453.13,2.6851,18.44,2.0389,0.5375,2.1928,1304.01,456.24,459.33,1.848,21.67,2.8478,35.8,35.8,1.8132,1.8132,71.42,68.08,58.22,64.03,56.91,49.05,53.88,68.79,42.02
59,1.7502,3.3545,38.5,2.1427,1240.06,964.88,447.71,455.74,19.09,3.3545,964.88,447.71,110,104,2.0418,2.4705,2.4029,2.481,0.7052,444.03,1.054,20.93,0.2751,2.6171,2.4029,964.88,447.71,455.74,0.9867,20.75,3.3545,38.5,38.5,2.1427,2.1427,55.85,42.85,59.15,51.89,78.36,34.84,58.5,59.37,72.4
60,1.8517,3.2411,47,2.3977,878.25,1486.44,451.41,448.66,19.45,3.2411,1486.44,451.41,111,104,2.006,2.4805,1.7928,1.9619,1.1324,440.63,2.5172,21.08,1.1282,0.3487,1.7928,1486.44,451.41,448.66,1.9706,19.29,3.2411,47,47,2.3977,2.3977,39.88,56.16,65.69,41.31,39.65,72.07,49.32,66.29,69.6
61,2.0659,2.9493,47.1,0.1122,971.37,1315.65,443.3,441.49,20.35,2.9493,1315.65,443.3,112,104,2.3421,1.8057,1.7404,2.0279,1.9306,447.84,0.0876,20.95,0.3617,0.6079,1.7404,1315.65,443.3,441.49,2.2622,20.35,2.9493,47.1,47.1,0.1122,0.1122,75.43,65.91,51.03,78.46,66.77,38.56,70.31,38.56,48.75
62,2.3352,3.0494,26.2,0.7237,1105.03,969.37,456.37,452.5,19.28,3.0494,969.37,456.37,113,104,1.7729,1.5657,2.4133,1.8997,1.5088,440.64,2.7087,21.23,0.5934,1.0289,2.4133,969.37,456.37,452.5,1.6635,20.3,3.0494,26.2,26.2,0.7237,0.7237,73.67,34.14,55.5,35.44,30.59,78.5,47.19,79.24,37.63
63,2.0116,3.4221,20.6,2.417,1297.18,840.78,449.88,453.24,21.1,3.4221,840.78,449.88,114,104,1.8877,2.3999,2.4021,1.9627,1.5862,447.29,2.59,20.14,0.5195,1.8592,2.4021,840.78,449.88,453.24,2.3075,19.13,3.4221,20.6,20.6,2.417,2.417,69.19,74.7,40.25,77.41,35.62,70.09,37.38,69.05,57.29
64,2.2496,3.2189,14.5,2.8472,965.68,851.06,457.94,456.82,21.61,3.2189,851.06,457.94,115,104,1.8422,1.9327,1.6482,1.6716,0.6987,447.37,1.9475,20.92,0.9633,0.2201,1.6482,851.06,457.94,456.82,0.493,18.94,3.2189,14.5,14.5,2.8472,2.8472,71.78,51.2,64.39,53.85,75.25,55.68,43.88,79.69,70.81
65,2.4523,2.846,44.9,0.2897,1075.13,844.86,442.83,444.8,21.46,2.846,844.86,442.83,116,104,1.7848,2.0552,2.0043,2.0117,2.5837,443.14,0.4137,21.77,2.8356,1.4558,2.0043,844.86,442.83,444.8,2.969,21.71,2.846,44.9,44.9,0.2897,0.2897,38.39,46.3,47.46,67.85,61.13,75.12,61.72,52.82,43.17
66,2.4695,2.9592,49.4,1.84,902.92,1093.65,446.93,441.9,19.04,2.9592,1093.65,446.93,117,104,2.1885,1.9045,2.1621,2.2818,1.2505,446.15,0.8387,18.42,1.9985,2.1588,2.1621,1093.65,446.93,441.9,2.7854,18.32,2.9592,49.4,49.4,1.84,1.84,59.28,68.22,35.44,77.56,42.78,38.89,79.93,51.67,70.73
